,TIME,Oy,Ox,Dy,Dx,Q,CITY
334,28800.0,118.096294,24.447317,118.043932,25.229107,1,0
350,28800.0,118.190866,25.055283,118.092841,24.44819,1,1
351,28800.0,118.137716,24.501507,118.205414,25.060653,1,0
339,28800.0,118.190423,25.055791,118.142242,24.537209,1,1
340,28800.0,118.193152,25.054003,118.164298,24.511931,1,1
341,28800.0,118.193649,25.039894,118.249219,24.540553,1,1
336,28800.0,118.201562,25.057189,118.120639,24.492425,2,1
344,28800.0,118.21095,25.057961,118.123204,24.5147,1,1
354,28800.0,118.201934,25.065624,118.102669,24.456296,1,1
337,28800.0,118.090695,25.018422,118.157916,24.496467,1,1
368,28800.0,118.190394,25.055801,118.142242,24.537209,1,1
367,28800.0,118.056755,25.234599,118.092569,24.448728,2,1
364,28800.0,118.168769,24.475332,118.189178,25.055462,1,0
333,28800.0,118.131386,24.507343,118.069286,25.013561,1,0
362,28800.0,118.193945,25.050784,118.092841,24.44819,2,1
346,28800.0,118.131024,24.484385,118.212541,25.045968,1,0
352,28800.0,118.217301,25.051041,118.162909,24.503007,2,1
348,28800.0,118.234231,25.063492,118.150812,24.491348,1,1
342,28800.0,118.097768,24.944442,118.171909,24.446957,1,1
345,28800.0,118.142622,24.52435,118.184045,25.054721,1,0
359,28800.0,118.116596,24.458902,118.193768,25.055489,1,0
369,28800.0,118.117896,24.60295,118.175641,25.069521,1,0
356,28800.0,118.206586,25.062471,118.136128,24.531814,1,1
374,28979.0,118.035804,24.565895,118.191134,25.053227,3,0
375,28981.0,118.157763,24.474914,118.053181,25.018909,1,0
377,29246.0,118.171327,24.518031,118.039943,25.230506,1,0
380,29400.0,118.193945,25.050784,118.096237,24.505125,1,1
381,29400.0,118.106684,24.583267,118.004961,25.00043,1,0
384,29509.0,118.022042,24.585788,118.178424,25.062876,1,0
388,29681.0,118.192593,25.053166,118.108135,24.466859,1,1
391,29782.0,118.045358,25.231877,118.192328,24.479084,1,1
392,29882.0,118.124802,24.485816,118.01691,25.015939,1,0
398,30000.0,118.029494,24.590943,118.113566,25.14205,1,0
396,30000.0,118.186428,25.048916,118.099974,24.456199,1,1
393,30000.0,118.130952,24.483411,118.227533,25.066795,1,0
402,30021.0,118.206443,25.046638,118.102338,24.468496,1,1
403,30029.0,118.050269,25.233586,118.13387,24.508447,1,1
407,30226.0,118.233219,25.066399,118.137411,24.532008,1,1
408,30275.0,118.147218,24.490805,118.1918,25.056076,1,0
409,30283.0,118.193935,25.051311,118.163098,24.522313,2,1
410,30302.0,118.035812,24.565893,118.158768,25.061103,2,0
412,30396.0,118.148543,24.506559,118.212242,25.042545,1,0
414,30527.0,118.117748,24.462054,118.225518,25.073555,1,0
415,30545.0,118.093187,24.44804,118.180331,25.070758,2,0
419,30600.0,118.202128,25.034171,118.093961,24.434594,1,1
442,30600.0,118.086537,24.604019,118.205544,25.05428,1,0
434,30600.0,118.053274,24.603175,118.084631,25.236071,1,0
429,30600.0,118.184511,25.054724,118.104601,24.466437,1,1
428,30600.0,118.184511,25.054724,118.104601,24.466437,1,1
437,30600.0,118.146399,24.492868,118.040485,25.230392,1,0
426,30600.0,117.948886,24.563935,118.076898,25.231704,1,0
446,30600.0,118.087265,24.612664,118.19889,25.06218,1,0
435,30600.0,118.205165,25.068813,118.089599,24.463333,1,1
445,30600.0,118.182773,25.055319,118.096035,24.591372,1,1
438,30600.0,118.167593,24.46274,118.082054,25.230704,1,0
436,30600.0,118.13668,24.524317,118.175578,25.055331,1,0
452,30600.0,117.950298,25.016755,118.19251,24.522922,1,1
432,30600.0,118.039943,25.230506,118.171327,24.518031,1,1
431,30600.0,118.122025,24.468651,118.194504,25.058389,1,0
453,30600.0,118.15715,25.0496,118.092446,24.455678,1,1
430,30600.0,118.104071,25.128353,118.171545,24.471915,1,1
439,30600.0,118.205165,25.068813,118.089599,24.463333,1,1
425,30600.0,118.109357,24.578274,118.194223,25.055682,1,0
420,30600.0,117.994375,24.997178,118.043098,24.582797,1,1
451,30600.0,118.203451,25.068122,118.152323,24.542164,1,1
448,30600.0,118.169429,25.0797,118.170339,24.470565,1,1
454,30670.0,118.092141,24.495954,118.181414,25.048515,1,0
456,30717.0,118.096831,24.461204,117.948156,25.023365,1,0
457,30764.0,118.180399,24.467243,118.200722,25.041284,1,0
459,30978.0,118.175476,25.059853,118.097139,24.461044,1,1
460,31057.0,118.120263,24.52538,118.183786,25.068121,2,0
461,31063.0,118.197057,25.046532,118.131853,24.498345,1,1
464,31131.0,118.142806,24.606448,118.194389,25.045959,1,0
466,31200.0,118.235562,25.06254,118.179556,24.479481,1,1
467,31208.0,118.097775,24.441604,118.191116,25.053333,1,0
468,31242.0,118.166251,24.474715,118.230465,25.071213,1,0
470,31405.0,118.145728,24.497794,118.166508,25.062317,1,0
476,31584.0,118.102339,24.488078,118.202014,25.035082,1,0
478,31777.0,118.197527,25.04645,118.089293,24.443402,1,1
482,31800.0,118.241564,25.074712,118.142242,24.537209,1,1
480,31800.0,118.180399,24.467243,118.200722,25.041284,1,0
481,31800.0,118.170327,24.53772,118.1918,25.056076,1,0
485,31816.0,118.14329,24.515176,117.948783,25.019287,1,0
486,31855.0,118.134263,25.173358,118.118524,24.502398,1,1
489,31883.0,118.194171,25.058153,118.129841,24.494943,1,1
490,31944.0,118.209688,25.038179,118.036787,24.600811,1,1
492,32022.0,118.193329,25.059114,118.078909,24.633657,1,1
494,32092.0,118.086342,24.447573,118.159962,25.056085,2,0
496,32186.0,118.130822,24.50754,118.005052,25.011532,1,0
498,32237.0,118.134263,25.173358,118.118524,24.502398,1,1
499,32261.0,118.013599,25.019189,118.122251,24.489743,1,1
500,32273.0,118.141753,24.518408,118.004591,25.005503,1,0
501,32301.0,118.114644,24.51121,118.039943,25.230506,1,0
502,32327.0,118.154353,24.488568,118.202068,25.053131,1,0
553,32400.0,118.210246,25.03439,118.142214,24.537199,1,1
517,32400.0,118.089351,24.493343,118.1962,25.03829,1,0
555,32400.0,118.193293,25.036289,118.059995,24.579564,1,1
544,32400.0,118.192989,25.045412,118.119735,24.520897,1,1
549,32400.0,118.190735,25.049518,118.120895,24.464931,2,1
542,32400.0,118.142202,24.51079,118.180059,25.056143,1,0
515,32400.0,118.164904,25.064347,118.065594,24.611985,2,1
554,32400.0,118.02553,24.528702,118.100282,25.134843,1,0
527,32400.0,118.096337,25.177581,118.118731,24.46729,1,1
516,32400.0,118.239246,25.075319,118.152321,24.542165,1,1
541,32400.0,118.106684,24.583267,118.007457,25.009533,1,0
520,32400.0,118.221527,25.075539,118.079729,24.632559,3,1
514,32400.0,118.221809,25.069982,118.110401,24.48544,1,1
521,32400.0,118.145088,24.611298,118.199517,25.055394,1,0
